"","at","value","timestamp"
"1644","2013-06-25T07:28:43.898504Z",7203,2013-06-25 07:28:43
"1645","2013-06-25T07:30:43.886552Z",170,2013-06-25 07:30:43
"1646","2013-06-25T07:32:43.915919Z",4296,2013-06-25 07:32:43
"1647","2013-06-25T07:34:43.928036Z",4446,2013-06-25 07:34:43
"1648","2013-06-25T07:36:43.910600Z",133,2013-06-25 07:36:43
"1649","2013-06-25T07:38:43.947963Z",4780,2013-06-25 07:38:43
"1650","2013-06-25T07:40:43.952478Z",4446,2013-06-25 07:40:43
"1651","2013-06-25T07:42:43.960279Z",3899,2013-06-25 07:42:43
"1652","2013-06-25T07:44:43.969101Z",4607,2013-06-25 07:44:43
"1653","2013-06-25T07:46:43.978592Z",4023,2013-06-25 07:46:43
"1654","2013-06-25T07:48:43.984974Z",4967,2013-06-25 07:48:43
"1655","2013-06-25T07:50:43.995270Z",5623,2013-06-25 07:50:43
"1656","2013-06-25T07:52:44.009878Z",5882,2013-06-25 07:52:44
"1657","2013-06-25T07:54:44.014811Z",4607,2013-06-25 07:54:44
"1658","2013-06-25T07:56:44.019440Z",4780,2013-06-25 07:56:44
"1659","2013-06-25T07:58:44.038504Z",4607,2013-06-25 07:58:44
"1660","2013-06-25T08:00:44.038405Z",5386,2013-06-25 08:00:44
"1661","2013-06-25T08:02:44.046167Z",4967,2013-06-25 08:02:44
"1662","2013-06-25T08:04:44.058620Z",4780,2013-06-25 08:04:44
"1663","2013-06-25T08:06:44.057805Z",149,2013-06-25 08:06:44
"1664","2013-06-25T08:08:44.087885Z",4967,2013-06-25 08:08:44
"1665","2013-06-25T08:10:44.087558Z",5882,2013-06-25 08:10:44
"1666","2013-06-25T08:12:44.091171Z",6165,2013-06-25 08:12:44
"1667","2013-06-25T08:14:44.092950Z",5386,2013-06-25 08:14:44
"1668","2013-06-25T08:16:44.102850Z",5168,2013-06-25 08:16:44
"1669","2013-06-25T08:18:44.113130Z",5168,2013-06-25 08:18:44
"1670","2013-06-25T08:20:44.118795Z",7203,2013-06-25 08:20:44
"1671","2013-06-25T08:22:44.127581Z",5386,2013-06-25 08:22:44
"1672","2013-06-25T08:24:44.136482Z",7631,2013-06-25 08:24:44
"1673","2013-06-25T08:26:44.147636Z",6165,2013-06-25 08:26:44
"1674","2013-06-25T08:28:44.150809Z",5386,2013-06-25 08:28:44
"1675","2013-06-25T08:30:44.160416Z",6821,2013-06-25 08:30:44
"1676","2013-06-25T08:32:44.168811Z",7203,2013-06-25 08:32:44
"1677","2013-06-25T08:34:44.179629Z",6165,2013-06-25 08:34:44
"1678","2013-06-25T08:36:44.188965Z",7631,2013-06-25 08:36:44
"1679","2013-06-25T08:38:44.195511Z",8112,2013-06-25 08:38:44
"1680","2013-06-25T08:40:44.207446Z",9999,2013-06-25 08:40:44
"1681","2013-06-25T08:42:44.214068Z",9999,2013-06-25 08:42:44
"1682","2013-06-25T08:44:44.220745Z",7631,2013-06-25 08:44:44
