"","at","value","timestamp"
"510","2013-06-23T17:09:15.711088Z",1367,2013-06-23 17:09:15
"511","2013-06-23T17:11:15.719929Z",65351,2013-06-23 17:11:15
"512","2013-06-23T17:13:15.725482Z",130767,2013-06-23 17:13:15
"514","2013-06-23T17:17:15.742722Z",130767,2013-06-23 17:17:15
"515","2013-06-23T17:19:15.747544Z",65351,2013-06-23 17:19:15
"516","2013-06-23T17:21:15.756410Z",130767,2013-06-23 17:21:15
"517","2013-06-23T17:23:15.767813Z",65351,2013-06-23 17:23:15
"518","2013-06-23T17:25:15.769249Z",65351,2013-06-23 17:25:15
"519","2013-06-23T17:27:15.777181Z",130767,2013-06-23 17:27:15
"520","2013-06-23T17:29:15.785668Z",130767,2013-06-23 17:29:15
"522","2013-06-23T17:33:15.800331Z",130767,2013-06-23 17:33:15
"524","2013-06-23T17:37:15.819523Z",130767,2013-06-23 17:37:15
"525","2013-06-23T17:39:15.818985Z",130767,2013-06-23 17:39:15
"526","2013-06-23T17:41:15.832477Z",26101,2013-06-23 17:41:15
"527","2013-06-23T17:43:15.842811Z",130767,2013-06-23 17:43:15
"531","2013-06-23T17:51:15.884477Z",130767,2013-06-23 17:51:15
"532","2013-06-23T17:53:15.876046Z",130767,2013-06-23 17:53:15
"537","2013-06-23T18:03:15.907181Z",130767,2013-06-23 18:03:15
"538","2013-06-23T18:05:15.913948Z",1367,2013-06-23 18:05:15
"539","2013-06-23T18:07:15.922615Z",130767,2013-06-23 18:07:15
"542","2013-06-23T18:13:15.947807Z",65351,2013-06-23 18:13:15
"543","2013-06-23T18:15:15.953176Z",65351,2013-06-23 18:15:15
"544","2013-06-23T18:17:15.961369Z",1367,2013-06-23 18:17:15
"547","2013-06-23T18:23:15.997527Z",130767,2013-06-23 18:23:15
"548","2013-06-23T18:25:16.001193Z",130767,2013-06-23 18:25:16
"555","2013-06-23T18:39:16.068735Z",130767,2013-06-23 18:39:16
"557","2013-06-23T18:43:16.063719Z",130767,2013-06-23 18:43:16
"559","2013-06-23T18:47:16.067428Z",130767,2013-06-23 18:47:16
"561","2013-06-23T18:51:16.086049Z",130767,2013-06-23 18:51:16
"562","2013-06-23T18:53:16.091145Z",130767,2013-06-23 18:53:16
"563","2013-06-23T18:55:16.101784Z",130767,2013-06-23 18:55:16
"564","2013-06-23T18:57:16.107261Z",130767,2013-06-23 18:57:16
"571","2013-06-23T19:11:16.159589Z",1367,2013-06-23 19:11:16
"576","2013-06-23T19:21:16.192989Z",65351,2013-06-23 19:21:16
"579","2013-06-23T19:27:16.230219Z",130767,2013-06-23 19:27:16
"580","2013-06-23T19:29:16.231486Z",130767,2013-06-23 19:29:16
"581","2013-06-23T19:31:16.237653Z",43545,2013-06-23 19:31:16
"582","2013-06-23T19:33:16.238237Z",43545,2013-06-23 19:33:16
"583","2013-06-23T19:35:16.256574Z",65351,2013-06-23 19:35:16
"585","2013-06-23T19:39:16.265045Z",32643,2013-06-23 19:39:16
"586","2013-06-23T19:41:16.267779Z",43545,2013-06-23 19:41:16
"587","2013-06-23T19:43:16.287194Z",130767,2013-06-23 19:43:16
"588","2013-06-23T19:45:16.288585Z",65351,2013-06-23 19:45:16
"589","2013-06-23T19:47:16.292921Z",43545,2013-06-23 19:47:16
"590","2013-06-23T19:49:16.307115Z",43545,2013-06-23 19:49:16
"591","2013-06-23T19:51:17.374664Z",384,2013-06-23 19:51:17
"592","2013-06-23T19:53:16.323180Z",26101,2013-06-23 19:53:16
"593","2013-06-23T19:55:16.324077Z",65351,2013-06-23 19:55:16
"594","2013-06-23T19:57:16.332289Z",43545,2013-06-23 19:57:16
"595","2013-06-23T19:59:16.338647Z",65351,2013-06-23 19:59:16
"596","2013-06-23T20:01:16.343174Z",26101,2013-06-23 20:01:16
"597","2013-06-23T20:03:16.353716Z",21740,2013-06-23 20:03:16
"598","2013-06-23T20:05:16.358857Z",43545,2013-06-23 20:05:16
"599","2013-06-23T20:07:16.368057Z",130767,2013-06-23 20:07:16
"600","2013-06-23T20:09:16.373133Z",65351,2013-06-23 20:09:16
"601","2013-06-23T20:11:16.440080Z",65351,2013-06-23 20:11:16
"602","2013-06-23T20:13:16.404206Z",43545,2013-06-23 20:13:16
"603","2013-06-23T20:15:16.502646Z",32643,2013-06-23 20:15:16
"604","2013-06-23T20:17:16.428968Z",43545,2013-06-23 20:17:16
"605","2013-06-23T20:19:16.526443Z",384,2013-06-23 20:19:16
"606","2013-06-23T20:21:16.477367Z",26101,2013-06-23 20:21:16
"607","2013-06-23T20:23:16.435695Z",43545,2013-06-23 20:23:16
"608","2013-06-23T20:25:16.519632Z",65351,2013-06-23 20:25:16
"609","2013-06-23T20:27:16.506428Z",7631,2013-06-23 20:27:16
"610","2013-06-23T20:29:16.482528Z",18625,2013-06-23 20:29:16
"611","2013-06-23T20:31:16.528967Z",13018,2013-06-23 20:31:16
"612","2013-06-23T20:33:16.519448Z",7631,2013-06-23 20:33:16
"613","2013-06-23T20:35:16.513592Z",32643,2013-06-23 20:35:16
"614","2013-06-23T20:37:16.528832Z",10837,2013-06-23 20:37:16
"615","2013-06-23T20:39:16.540245Z",10837,2013-06-23 20:39:16
"616","2013-06-23T20:41:16.502094Z",14472,2013-06-23 20:41:16
"617","2013-06-23T20:43:16.490092Z",289,2013-06-23 20:43:16
"618","2013-06-23T20:45:16.526089Z",11829,2013-06-23 20:45:16
"619","2013-06-23T20:47:16.606585Z",4607,2013-06-23 20:47:16
"620","2013-06-23T20:49:16.611042Z",6476,2013-06-23 20:49:16
"621","2013-06-23T20:51:16.647557Z",7631,2013-06-23 20:51:16
"622","2013-06-23T20:53:16.577275Z",9280,2013-06-23 20:53:16
"623","2013-06-23T20:55:16.562208Z",241,2013-06-23 20:55:16
"624","2013-06-23T20:57:16.613366Z",13018,2013-06-23 20:57:16
"625","2013-06-23T20:59:16.631702Z",16289,2013-06-23 20:59:16
"626"," 2013-06-23T21:01:16.631389Z",14472,2013-06-23 21:01:16
